,DATE,SYMBOL1,ACTION,SIZE,PRICE,TRIP,LMT_PRICE,STATUS,SYMBOL2,ACTION2,SIZE2,PRICE2,TRIP2,LMT_PRICE2,STATUS2
0,2017-02-03,PEP,SELL,1000,104.44,Entry,N/A,Filled,KO,BUY,1000,41.58,Entry,N/A,Filled
0,2017-03-15,PEP,SELL,1000,109.56,Entry,N/A,Filled,KO,BUY,1000,41.98,Entry,N/A,Filled
0,2017-04-12,PEP,SELL,1000,112.05,Entry,N/A,Filled,KO,BUY,1000,42.54,Entry,N/A,Filled
0,2017-05-15,PEP,SELL,1000,112.9,Entry,N/A,Filled,KO,BUY,1000,43.46,Entry,N/A,Filled
0,2017-05-25,PEP,SELL,1000,116.36,Entry,N/A,Filled,KO,BUY,1000,45.0,Entry,N/A,Filled
0,2017-07-21,PEP,SELL,1000,115.78,Entry,N/A,Filled,KO,BUY,1000,44.78,Entry,N/A,Filled
0,2017-08-14,PEP,SELL,1000,117.36,Entry,N/A,Filled,KO,BUY,1000,45.67,Entry,N/A,Filled
0,2017-11-08,PEP,SELL,1000,110.57,Entry,N/A,Filled,KO,BUY,1000,45.98,Entry,N/A,Filled
0,2017-11-29,PEP,SELL,1000,116.84,Entry,N/A,Filled,KO,BUY,1000,45.77,Entry,N/A,Filled
0,2018-02-26,PEP,SELL,1000,110.12,Entry,N/A,Filled,KO,BUY,1000,44.23,Entry,N/A,Filled
0,2018-05-21,PEP,SELL,1000,98.22,Entry,N/A,Filled,KO,BUY,1000,42.31,Entry,N/A,Filled
0,2018-06-08,PEP,SELL,1000,101.18,Entry,N/A,Filled,KO,BUY,1000,43.57,Entry,N/A,Filled
0,2018-07-10,PEP,SELL,1000,110.62,Entry,N/A,Filled,KO,BUY,1000,44.51,Entry,N/A,Filled
0,2018-08-06,PEP,SELL,1000,117.25,Entry,N/A,Filled,KO,BUY,1000,46.6,Entry,N/A,Filled
0,2018-09-13,PEP,SELL,1000,114.49,Entry,N/A,Filled,KO,BUY,1000,46.01,Entry,N/A,Filled
0,2018-11-29,PEP,SELL,1000,118.4,Entry,N/A,Filled,KO,BUY,1000,49.28,Entry,N/A,Filled
0,2019-01-31,PEP,SELL,1000,110.97,Entry,N/A,Filled,KO,BUY,1000,47.85,Entry,N/A,Filled
0,2019-02-13,PEP,SELL,1000,114.11,Entry,N/A,Filled,KO,BUY,1000,49.61,Entry,N/A,Filled
0,2019-03-18,PEP,SELL,1000,116.17,Entry,N/A,Filled,KO,BUY,1000,45.43,Entry,N/A,Filled
0,2019-04-15,PEP,SELL,1000,122.44,Entry,N/A,Filled,KO,BUY,1000,46.88,Entry,N/A,Filled
0,2019-04-17,PEP,SELL,1000,125.0,Entry,N/A,Filled,KO,BUY,1000,47.2,Entry,N/A,Filled
0,2019-06-05,PEP,SELL,1000,129.22,Entry,N/A,Filled,KO,BUY,1000,50.01,Entry,N/A,Filled
0,2019-06-07,PEP,SELL,1000,132.84,Entry,N/A,Filled,KO,BUY,1000,51.47,Entry,N/A,Filled
0,2019-06-20,PEP,SELL,1000,133.87,Entry,N/A,Filled,KO,BUY,1000,51.5,Entry,N/A,Filled
0,2019-08-27,PEP,SELL,1000,134.2,Entry,N/A,Filled,KO,BUY,1000,54.7,Entry,N/A,Filled
0,2019-09-30,PEP,SELL,1000,136.07,Entry,N/A,Filled,KO,BUY,1000,54.15,Entry,N/A,Filled
0,2019-10-03,PEP,SELL,1000,138.44,Entry,N/A,Filled,KO,BUY,1000,53.5,Entry,N/A,Filled
0,2020-01-15,PEP,SELL,1000,137.04,Entry,N/A,Filled,KO,BUY,1000,56.0,Entry,N/A,Filled
0,2020-05-08,PEP,SELL,1000,133.07,Entry,N/A,Filled,KO,BUY,1000,45.08,Entry,N/A,Filled
0,2020-05-15,PEP,SELL,1000,133.77,Entry,N/A,Filled,KO,BUY,1000,43.96,Entry,N/A,Filled
0,2020-07-13,PEP,SELL,1000,136.77,Entry,N/A,Filled,KO,BUY,1000,45.53,Entry,N/A,Filled
0,2020-09-02,PEP,SELL,1000,139.52,Entry,N/A,Filled,KO,BUY,1000,49.36,Entry,N/A,Filled
0,2020-09-28,PEP,SELL,1000,136.04,Entry,N/A,Filled,KO,BUY,1000,49.31,Entry,N/A,Filled
0,2020-10-12,PEP,SELL,1000,141.12,Entry,N/A,Filled,KO,BUY,1000,50.84,Entry,N/A,Filled
0,2021-03-22,PEP,SELL,1000,135.63,Entry,N/A,Filled,KO,BUY,1000,50.32,Entry,N/A,Filled
0,2021-07-13,PEP,SELL,1000,151.15,Entry,N/A,Filled,KO,BUY,1000,54.95,Entry,N/A,Filled
0,2021-08-13,PEP,SELL,1000,155.1,Entry,N/A,Filled,KO,BUY,1000,56.81,Entry,N/A,Filled
0,2021-10-07,PEP,SELL,1000,155.52,Entry,N/A,Filled,KO,BUY,1000,53.99,Entry,N/A,Filled
0,2021-11-03,PEP,SELL,1000,162.15,Entry,N/A,Filled,KO,BUY,1000,56.0,Entry,N/A,Filled
0,2021-11-19,PEP,SELL,1000,164.5,Entry,N/A,Filled,KO,BUY,1000,55.44,Entry,N/A,Filled
0,2021-12-03,PEP,SELL,1000,161.47,Entry,N/A,Filled,KO,BUY,1000,53.33,Entry,N/A,Filled
0,2021-12-28,PEP,SELL,1000,171.46,Entry,N/A,Filled,KO,BUY,1000,58.4,Entry,N/A,Filled
0,2022-03-29,PEP,SELL,1000,167.29,Entry,N/A,Filled,KO,BUY,1000,62.21,Entry,N/A,Filled
0,2022-04-06,PEP,SELL,1000,169.92,Entry,N/A,Filled,KO,BUY,1000,62.77,Entry,N/A,Filled
